"id","team","wiki","region","country","track","kind","section","application","isRemote","year"
5033,"Aachen","https://2024.igem.wiki/aachen","europe","DEU","Oncology","collegiate","overgrad","accepted",false,2024
5137,"Aalto-Helsinki","https://2024.igem.wiki/aalto-helsinki","europe","FIN","Therapeutics","collegiate","overgrad","accepted",false,2024
5260,"ABOA","https://2024.igem.wiki/aboa","europe","FIN","Space","collegiate","overgrad","accepted",false,2024
5036,"AFCM-Egypt","https://2024.igem.wiki/afcm-egypt","africa","EGY","Therapeutics","collegiate","undergrad","accepted",false,2024
5283,"AFMU-China","https://2024.igem.wiki/afmu-china","asia","CHN","Therapeutics","collegiate","undergrad","accepted",false,2024
5186,"AIS-China","https://2024.igem.wiki/ais-china","asia","CHN","Infectious Diseases","commercial","high-school","accepted",false,2024
5422,"Aix-Marseille","https://2024.igem.wiki/aix-marseille","europe","FRA","Agriculture","collegiate","overgrad","accepted",false,2024
5324,"Alma","https://2024.igem.wiki/alma","north-america","USA","Conservation","collegiate","undergrad","accepted",false,2024
5171,"Anatolia-College","https://2024.igem.wiki/anatolia-college","europe","GRC","Bioremediation","high-school","high-school","accepted",false,2024
5423,"ANU","https://2024.igem.wiki/anu","asia","AUS","Conservation","collegiate","undergrad","accepted",false,2024
5312,"AshesiGhana","https://2024.igem.wiki/ashesighana","africa","GHA","Conservation","collegiate","overgrad","accepted",false,2024
5431,"ASU","https://2024.igem.wiki/asu","north-america","USA","Foundational Advance","collegiate","undergrad","accepted",false,2024
5406,"Athens","https://2024.igem.wiki/athens","europe","GRC","Bioremediation","collegiate","overgrad","accepted",false,2024
5119,"Austin-utexas","https://2024.igem.wiki/austin-utexas","north-america","USA","Food & Nutrition","collegiate","undergrad","accepted",false,2024
5045,"BAID-China","https://2024.igem.wiki/baid-china","asia","CHN","Oncology","high-school","high-school","accepted",false,2024
5251,"Bangkok-NMH","https://2024.igem.wiki/bangkok-nmh","asia","THA","Software & AI","collegiate","undergrad","accepted",false,2024
5513,"Bangladesh",,"asia","BGD",,"collegiate","collegiate","withdrawn",,2024
5316,"Barcelona-UB","https://2024.igem.wiki/barcelona-ub","europe","ESP","Therapeutics","collegiate","undergrad","accepted",false,2024
5236,"BASIS-China","https://2024.igem.wiki/basis-china","asia","CHN","Bioremediation","high-school","high-school","accepted",false,2024
5309,"BCA-I",,"north-america","USA",,"high-school","high-school","withdrawn",,2024
5190,"Beijing-HS","https://2024.igem.wiki/beijing-hs","asia","CHN","Therapeutics","commercial","high-school","accepted",false,2024
5217,"BGI-MammothEdu-East","https://2024.igem.wiki/bgi-mammothedu-east","asia","CHN","Fashion & Cosmetics","commercial","high-school","accepted",false,2024
5218,"BGI-MammothEdu-South","https://2024.igem.wiki/bgi-mammothedu-south","asia","CHN","Therapeutics","commercial","high-school","accepted",false,2024
